epoch,lr,batch_size,optimizer,train_loss,train_acc,test_acc
1,0.0001,16,adam,0.1886004076784578,0.9159369527145359,0.9838709677419355
2,0.0001,16,adam,0.0436273763403166,0.9859894921190894,1.0
3,0.0001,16,adam,0.027215701217996366,0.9912434325744308,1.0
4,0.0001,16,adam,0.027949044983687235,0.989492119089317,1.0
5,0.0001,16,adam,0.016443361546159208,0.9947460595446584,0.9919354838709677
6,0.0001,16,adam,0.010409135402028568,0.9982486865148862,0.9919354838709677
7,0.0001,16,adam,0.01042279888903918,0.9964973730297724,0.9919354838709677
8,0.0001,16,adam,0.0048375859141599345,1.0,0.9919354838709677
9,0.0001,16,adam,0.0017535873446038609,1.0,1.0
10,0.0001,16,adam,0.003664672655059961,1.0,1.0
1,0.0001,16,sgd,0.6297503426383966,0.6462346760070052,0.7983870967741935
2,0.0001,16,sgd,0.38152476101330823,0.8686514886164624,0.9435483870967742
3,0.0001,16,sgd,0.27824828073043123,0.9106830122591943,0.9758064516129032
4,0.0001,16,sgd,0.22930165940011654,0.9334500875656743,0.9919354838709677
5,0.0001,16,sgd,0.17427957251067755,0.957968476357268,0.9838709677419355
6,0.0001,16,sgd,0.1619410170356363,0.9527145359019265,0.9838709677419355
7,0.0001,16,sgd,0.14699012656971785,0.957968476357268,0.9919354838709677
8,0.0001,16,sgd,0.14654051417227176,0.9509632224168126,1.0
9,0.0001,16,sgd,0.10240915065367043,0.9702276707530648,0.9838709677419355
10,0.0001,16,sgd,0.0952734327801681,0.9719789842381786,0.9838709677419355
1,0.0001,32,adam,0.1825438400994719,0.9194395796847635,0.9919354838709677
2,0.0001,32,adam,0.02088573249464695,0.9964973730297724,0.9838709677419355
3,0.0001,32,adam,0.005048301881962112,1.0,0.9919354838709677
4,0.0001,32,adam,0.01247335406552002,0.9964973730297724,0.9919354838709677
5,0.0001,32,adam,0.0036527524531399748,1.0,0.9919354838709677
6,0.0001,32,adam,0.0019119293539052512,1.0,0.9919354838709677
7,0.0001,32,adam,0.0009281528157097632,1.0,0.9919354838709677
8,0.0001,32,adam,0.0010386049776417961,1.0,0.9919354838709677
9,0.0001,32,adam,0.000820999481621885,1.0,0.9919354838709677
10,0.0001,32,adam,0.0027164868176988146,1.0,0.9919354838709677
